person,label
4886f805,0.43222865
0297fc1e,0.5342236
2d681dd8,0.442458
cccea85e,0.53629464
4c8a8b93,0.5145882
29ebb414,0.4532249
3dc1950f,0.5295176
8ea4c165,0.47571155
d8cfe234,0.4639139
d6bc64df,0.47571155
ec9c4059,0.47858799
d21b8e6b,0.41134283
2a724d87,0.43221894
686c49c9,0.54918313
a08d42ea,0.48975605
c98f5cf1,0.49836695
d614c608,0.43222865
e45acd53,0.5029775
7d876393,0.48147655
f5af843f,0.48314705
5a724794,0.51029724
00091926,0.49304023
55d1e0ee,0.48687574
f87be219,0.42176047
49c19e32,0.45907915
bb78c182,0.43221894
e2bfe05f,0.43221894
0e9d0ae2,0.4231154
cb68850c,0.44851977
f30ef764,0.4413353
ca5fa859,0.4231154
4f06f2dd,0.4543532
872d9b83,0.5839269
dca7e4fa,0.50273305
3cb2bfc5,0.43221894
0ec008ff,0.5839269
19876c5b,0.5001515
36606944,0.476713
3c36c384,0.4532249
25ec69e5,0.43222865
02a9fd4c,0.4800694
e9c847d7,0.50734115
8f7d334b,0.4949526
fd683087,0.5106592
aa5593bc,0.4969849
e39a4b4f,0.4834583
8aeb37ef,0.44566151
c76b8417,0.52730995
b51c3897,0.51768434
49013e40,0.48412153
18ad1f7c,0.47742188
ea679233,0.5530691
39df97e0,0.5113534
4473cb91,0.41211447
a90bb821,0.49681652
66f3c5a8,0.45597377
6972936f,0.45597377
f484e20b,0.5434567
bb5c496a,0.46294275
fa15dd75,0.5566738
8036d563,0.425459
051b11a7,0.4443788
a708f6b7,0.4734576
8af64425,0.5456249
290a4ade,0.51768434
5ea8fd22,0.45982793
73f02c61,0.495758
b364ac0f,0.47829208
27c4deeb,0.47451732
1a8f3e6d,0.49681652
75aea7ed,0.46156263
68bee360,0.49191588
7363f782,0.5212683
5f5a1be2,0.51768434
f2ab91ec,0.5071886
f7e13865,0.49681652
f70a331b,0.51497835
69fe770b,0.4290109
73b5ddeb,0.5331385
3aae4375,0.46971667
2beddf66,0.425459
17b858f9,0.44401628
f75b14e8,0.41211447
67ec6a13,0.5625616
2466dcee,0.5655719
bbac557c,0.47552893
57d078f9,0.56993943
6791adff,0.48455638
2fca45c7,0.49681652
ee7d1909,0.48412934
b87bf3c0,0.5653743
229a0726,0.45473108
e28fa553,0.47925812
e2d69e04,0.46966544
f99328eb,0.49008977
7a98e5bb,0.43594974
60d720a3,0.43594003
8f6d708a,0.4794655
91a293e8,0.51639384
dbff7610,0.47676274
c104bc78,0.51442
b3bf2435,0.55564773
8611216e,0.51639384
2454293c,0.50561696
82d31364,0.51768434
f1f2d6aa,0.4584215
45599974,0.5106592
b8112306,0.43594003
7e317918,0.446198
a30504be,0.43303457
f88200f4,0.5516681
97267956,0.4979081
2fec9bbc,0.46371973
4e5d317d,0.425459
f8e37457,0.4656381
9411a009,0.43397114
