,0,1
0,0.99988544,0.000114565286
1,0.934774,0.06522604
2,0.9994561,0.0005439068
3,0.9964821,0.0035179348
4,0.9515005,0.048499502
5,0.99663454,0.003365446
6,0.9774071,0.022592925
7,0.9787072,0.021292793
8,0.9974943,0.0025057076
9,0.9867811,0.01321886
10,0.99689156,0.0031084674
11,0.999889,0.000111006884
12,0.9988827,0.0011172657
13,0.23053783,0.76946217
14,0.9992713,0.0007287317
15,0.99159026,0.008409764
16,0.99850076,0.0014992637
17,0.78879476,0.21120521
18,0.99911475,0.0008852531
19,0.9864664,0.013533593
20,0.9659364,0.03406355
21,0.9960042,0.0039957534
22,0.99913937,0.0008606086
23,0.9997703,0.00022969148
24,0.9991485,0.00085150835
25,0.9952374,0.0047626095
26,0.9999206,7.9421014e-05
27,0.9968498,0.0031502098
28,0.99944115,0.00055883854
29,0.99775106,0.0022489629
30,0.9998666,0.00013340538
31,0.9980689,0.0019310869
32,0.1577872,0.8422128
33,0.9866789,0.0133211175
34,0.99673957,0.003260405
35,0.091412365,0.90858763
36,0.99426556,0.005734459
37,0.9880735,0.011926468
38,0.99824816,0.0017518346
39,0.99997145,2.8531678e-05
40,0.81604123,0.1839588
41,0.99965274,0.00034723224
42,0.9829699,0.017030144
43,0.80113786,0.19886212
44,0.9648292,0.035170775
45,0.99852437,0.0014756373
46,0.9996707,0.00032930556
47,0.99860835,0.0013916721
48,0.9873149,0.012685096
49,0.99514616,0.004853835
50,0.99580455,0.004195471
51,0.86329615,0.13670388
52,0.99136096,0.008639011
53,0.9999396,6.03895e-05
54,0.999306,0.00069399027
55,0.9983263,0.0016736907
56,0.97853196,0.021468023
57,0.92326415,0.07673585
58,0.99960434,0.00039565665
59,0.99866337,0.0013366472
60,0.9998764,0.00012363448
61,0.99974835,0.00025163384
62,0.9996667,0.00033332518
63,0.93514097,0.06485906
64,0.9943822,0.005617804
65,0.99900645,0.0009935631
66,0.9996987,0.0003013142
67,0.99832696,0.0016730169
68,0.94484967,0.05515033
69,0.97775406,0.02224597
70,0.97878116,0.021218857
71,0.9647829,0.035217088
72,0.98340976,0.016590267
73,0.9736385,0.026361546
74,0.98091114,0.01908888
75,0.9920023,0.007997681
76,0.9865403,0.013459694
77,0.99502945,0.0049705724
78,0.9829347,0.017065302
79,0.9995595,0.00044049099
80,0.9994915,0.0005084608
81,0.9994243,0.0005757249
82,0.996148,0.0038520067
83,0.79060876,0.2093912
84,0.88130164,0.11869837
85,0.990556,0.009443985
86,0.63868654,0.3613135
87,0.9911858,0.008814212
88,0.9091089,0.090891115
89,0.99150115,0.00849887
90,0.98996,0.010039992
91,0.9969907,0.0030092904
92,0.99319077,0.006809247
93,0.998187,0.0018129918
94,0.99682134,0.0031786782
95,0.9922284,0.007771629
96,0.99978507,0.0002149277
97,0.95333356,0.046666425
98,0.9771827,0.022817308
99,0.9840927,0.01590728
100,0.98170406,0.018295923
101,0.19698024,0.80301976
102,0.98602426,0.013975757
103,0.9991822,0.0008177863
104,0.72224486,0.2777551
105,0.9983177,0.0016823107
106,0.99410915,0.0058908365
107,0.9644505,0.035549533
108,0.9820106,0.01798937
109,0.99833643,0.0016635908
